example_id,cell,video_tokens,reference_tokens,denoising_seconds,forward_cuda_seconds,peak_allocated_gib,resident_baseline_gib,incremental_peak_gib,peak_reserved_gib,device_peak_gib,transformer_load_seconds,decoder_seconds,execution_body_seconds_including_audits,config,vae_text_prepare_seconds_including_load,prepared_plus_execution_component_sum_seconds,dino_gt_cosine
long_003_student_return,full_reference,15408,13104,18.179739268496633,18.107771484375,39.048930644989014,35.39244222640991,3.6564884185791016,43.1796875,43.89453125,8.771497756242752,3.544489917345345,36.04252855293453,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_003_student_return/full_reference/config.json,17.090842070057988,53.133370622992516,0.3345189094543457
long_003_student_return,oracle_sparse,3600,1296,3.864936823025346,3.8026445922851564,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.70646749716252,3.6648425702005625,21.679489764384925,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_003_student_return/oracle_sparse/config.json,17.090842070057988,38.77033183444291,0.3783220052719116
long_003_student_return,uniform_sparse,3600,1296,3.8635341404005885,3.8017936401367187,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.709867004305124,3.7356340112164617,21.71983804833144,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_003_student_return/uniform_sparse/config.json,17.090842070057988,38.81068011838943,0.365757018327713
long_004_van_exterior,local,2304,0,2.711789675988257,2.6508946533203126,35.97020483016968,35.38853597640991,0.5816688537597656,40.513671875,41.228515625,8.646324927918613,4.042263422161341,20.816893259063363,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_004_van_exterior/local/config.json,13.829853781498969,34.64674704056233,0.24640007317066193
long_004_van_exterior,native_full,15264,0,18.036794485524297,17.96881005859375,39.01636743545532,35.39220190048218,3.6241655349731445,43.154296875,43.869140625,8.678829966112971,4.124593202024698,36.28926208522171,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_004_van_exterior/native_full/config.json,16.47443454992026,52.76369663514197,0.24475930631160736
long_004_van_exterior,full_reference,15408,13104,18.194072651676834,18.121813232421875,39.048930644989014,35.39244222640991,3.6564884185791016,43.1796875,43.89453125,8.71818177215755,4.2554213758558035,36.69548740051687,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_004_van_exterior/full_reference/config.json,17.146557682193816,53.84204508271068,0.2401288002729416
long_004_van_exterior,oracle_sparse,3600,1296,3.868252158164978,3.8027099304199217,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.74403625819832,3.913123305886984,22.007832125760615,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_004_van_exterior/oracle_sparse/config.json,17.146557682193816,39.15438980795443,0.6189356446266174
long_004_van_exterior,uniform_sparse,3600,1296,3.8661989411339164,3.801410430908203,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.683895993977785,3.9194450713694096,21.873735426925123,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_004_van_exterior/uniform_sparse/config.json,17.146557682193816,39.02029310911894,0.24311459064483643
long_005_conservator,local,2304,0,2.7245602840557694,2.6611268005371094,35.97020483016968,35.38853597640991,0.5816688537597656,40.513671875,41.228515625,8.83708452153951,3.7794485120102763,20.76444134209305,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_005_conservator/local/config.json,13.7785629555583,34.54300429765135,0.45400020480155945
long_005_conservator,native_full,15264,0,18.02203845512122,17.953847900390624,39.01636743545532,35.39220190048218,3.6241655349731445,43.154296875,43.869140625,8.725147201679647,3.8952615866437554,36.08073652163148,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_005_conservator/native_full/config.json,16.45493251737207,52.53566903900355,0.1683039665222168
long_005_conservator,full_reference,15408,13104,18.168273964896798,18.097385742187498,39.048930644989014,35.39244222640991,3.6564884185791016,43.1796875,43.89453125,8.656352946534753,3.894116709008813,36.227153667248785,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_005_conservator/full_reference/config.json,17.086435820907354,53.31358948815614,0.17973901331424713
long_005_conservator,oracle_sparse,3600,1296,3.872810162603855,3.8094108276367185,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.760452475398779,3.877493469044566,21.923563838005066,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_005_conservator/oracle_sparse/config.json,17.086435820907354,39.00999965891242,0.23390187323093414
long_005_conservator,uniform_sparse,3600,1296,3.877418888732791,3.809847381591797,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,9.01572700124234,3.612869581207633,21.985119747929275,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_005_conservator/uniform_sparse/config.json,17.086435820907354,39.07155556883663,0.4872595965862274
